id,category,name,rating,rating_number,features,description,price,image_url,videos,brand,categories,details,parent_asin,bought_together,subtitle,author,stock
0,Industrial & Scientific,"ROVSUN Ice Maker Machine Countertop, Make 44lbs Ice in 24 Hours, Compact & Portable Ice Maker with Ice Basket for Home, Office, Kitchen, Bar (Silver)",3.7,61,"['【Quick Ice Making】This countertop ice machine creates crystal & bullet shaped ice cubes; 44lbs of ice ready in 24 hours, 12 cubes made per cycle within 10 mins; you can perfectly use it for drinks, wine, smoothies, food', '【Portable Design】The weight of this ice maker is only 23.3lbs, and the small size (10.63 x14.37 x 12.87)"" makes it portable. It\'s compact feature is perfect for home, office, apartments, dormitories, RVs and more, it can be placed on countertop or tabletop, plug it anywhere you like', '【Simple Operation】Adding the water tank with purified water; Power on machine and press ""on/off"" button to start ice making process; After 8-12 minutes, ice cube will fall off into the ice basket automatically; Take it out and make you cool', '【Full Monitoring】 Designed with compressor cooling system, operates at low noise and will not disturb your normal life; See-through window on top allows you to easily view the progress and check ice level', ""【1 Year Warranty】We do cover 1 year warranty on this ice maker, any questions about it, please don't hesitate to contact us at any time for getting a satisfied service. Worry free purchase, so get this ice machine home today""]",[],None,https://m.media-amazon.com/images/I/31idkuA3KlL.jpg,"{'title': ['Our Point of View on the Euhomy Ice Maker Machine', 'Frigidaire Ice Maker, Stainless (5 Stars) ', 'Review & Demonstration - Silonn Ice Maker - NOT BAD!', ' Never Run Out of Ice', 'Live DEMO - How Fast Can You Really Make Ice With EUHOMY?', 'Portable Ice Maker Countertop 26Lbs/24H', 'Countertop ice machine 2 size bullet style ice ', 'HONEST Review of Frigidare Ice Maker', 'VIVOHOME Countertop Automatic Ice Cube Maker Machine', 'How To Clean Your Ice Maker '], 'url': ['https://www.amazon.com/vdp/04e6baae04404579891e175567cb7b9d?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/0d6ee873c04545e297872f21f38ecd09?ref=dp_vse_rvc_1', 'https://www.amazon.com/vdp/0576ed1078764f53996bef3725ff767d?ref=dp_vse_rvc_2', 'https://www.amazon.com/vdp/0f8034b1507d4db8b05eb89321599eb0?ref=dp_vse_rvc_3', 'https://www.amazon.com/vdp/02caa2103d524af08793cecf3ec72fb0?ref=dp_vse_rvc_4', 'https://www.amazon.com/vdp/0bbb3e5c7b114ed9acde5bc1cc0d6e56?ref=dp_vse_rvc_5', 'https://www.amazon.com/vdp/036aa78c1fce4d66975a8d9df13cf692?ref=dp_vse_rvc_6', 'https://www.amazon.com/vdp/0eee9377eebf416f92f40c79a1201b0a?ref=dp_vse_rvc_7', 'https://www.amazon.com/vdp/08e510fdb18448fea830d0a358fddc3f?ref=dp_vse_rvc_8', 'https://www.amazon.com/vdp/0f989ad8e1aa4b999beac8a87542f2f6?ref=dp_vse_rvc_9'], 'user_id': ['/shop/influencer-20a38664', '/shop/dr.nailnipperfanpage', '/shop/influencer-5d9ad12c', '/shop/mdomer8', '/shop/influencer-767279e2', '', '/shop/wolfzoidgaming', '/shop/sensationmecrazy', '', '/shop/videozeus']}",ROVSUN,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Ice Makers']","{""Brand"": ""ROVSUN"", ""Model Name"": ""ICM-2005"", ""Capacity"": ""44 Pounds"", ""Wattage"": ""120 watts"", ""Voltage"": ""120 Volts"", ""Package Dimensions"": ""18 x 16 x 13.5 inches; 26.5 Pounds"", ""Date First Available"": ""March 17, 2021"", ""Manufacturer"": ""ROVSUN""}",B08Z743RRD,,,,100
1,Tools & Home Improvement,"HANSGO Egg Holder for Refrigerator, Deviled Eggs Dispenser Egg Storage Stackable Plastic Egg Containers Hold ups to 10 Eggs",4.2,75,"['Plastic', 'Practical Kitchen Storage - Our egg holder holds up to 10 eggs in normal size, keep eggs safe and fresh with this home basics fridge bin.', 'Easy to Use - Egg holder for refrigerator can be superimposed on the refrigerator, beautiful and room-saving, neatly organize your refrigerator without any loose eggs or flimsy egg cartons. Super easy to clean, you just need to use a sponge or rag to wipe water after washing.', 'Premium Quality - Our transparent egg box is made of high-grade plastic, BPA free, nontoxic and odorless, safe and durable. Size: 10.6 x 4.9 x 2.7inches (L x W x H)', 'Storage Organizer - Our egg trays are the perfect solution for fridge organizing, suited to contain the egg that is smaller than 6cm, compact design effortlessly fits into any refrigerator to help maximize your space without crushing any eggs, also suitable for storage strawberries, dumplings and other kinds of dim sum.', 'Widely Used - Our deviled eggs container is suitable for fridge, freezer, pantry, refrigerator, kitchen cabinets, camping and picnic. Store eggs safely while preserving the freshness.']",[],None,https://m.media-amazon.com/images/I/41tg+CPGV-L._AC_.jpg,"{'title': ['10 Eggs Egg Holder for Refrigerator', 'BINO Plastic Egg Holder with Lid for Kitchen - 13 Egg Holder', 'Watch Before You Buy!', 'Vtopmart Egg Holder for Refrigerator 2 Pack, Plastic Egg', 'Clean and restock my fridge with me!!', 'Fridge Egg Organizer- Full REVIEW', 'Watch Before You Buy - Covered Egg Holder', 'Ambergron Eggs Holder for Fridge', 'Egg Holder for Refrigerator', 'Easily see how many eggs you have left with an egg holder.'], 'url': ['https://www.amazon.com/vdp/0963a43991204e7d953fb5d611ba97ad?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/cdda0022c4c843e1acb380989b3519cb?ref=dp_vse_rvc_1', 'https://www.amazon.com/vdp/0ca8687e5f244b79b4054bbf4e55fac4?ref=dp_vse_rvc_2', 'https://www.amazon.com/vdp/06504139933d47129678e5307cbb200c?ref=dp_vse_rvc_3', 'https://www.amazon.com/vdp/0f9182ac2212485ab7f5f8c1209465c2?ref=dp_vse_rvc_4', 'https://www.amazon.com/vdp/001fd59e85cb45b1aff5cca5aa760635?ref=dp_vse_rvc_5', 'https://www.amazon.com/vdp/0f6aa0586410419b96afe20349eaf092?ref=dp_vse_rvc_6', 'https://www.amazon.com/vdp/03af2cb16393486b90b5f2369e95d121?ref=dp_vse_rvc_7', 'https://www.amazon.com/vdp/804499f9de1b411a884d150d87a2b8c6?ref=dp_vse_rvc_8', 'https://www.amazon.com/vdp/07c3de6b0bf94eecab36384b68f3eafc?ref=dp_vse_rvc_9'], 'user_id': ['', '', '/shop/influencer-85053a56', '/shop/thelifeofscottwenger', '/shop/influencer-8ac83341', '/shop/meadowlark.homestead', '/shop/influencer-74e6ffad', '', '', '/shop/bendigitalmktgstrategies']}",HANSGO,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Egg Trays']","{""Manufacturer"": ""HANSGO"", ""Part Number"": ""HANSGO"", ""Item Weight"": ""5 ounces"", ""Product Dimensions"": ""10.6\""L x 4.9\""W x 2.7\""H"", ""Item model number"": ""HH0151"", ""Size"": ""medium"", ""Color"": ""Bright white"", ""Material"": ""Plastic"", ""Shape"": ""Rectangular"", ""Handle Material"": ""Plastic"", ""Batteries Included?"": ""No"", ""Batteries Required?"": ""No"", ""Best Sellers Rank"": {""Tools & Home Improvement"": 246177, ""Refrigerator Egg Trays"": 288}, ""Date First Available"": ""June 16, 2021"", ""Brand"": ""HANSGO"", ""Number of Sets"": ""1""}",B097BQDGHJ,,,,100
2,Tools & Home Improvement,"Clothes Dryer Drum Slide, General Electric, Hotpoint, WE1M333, WE1M504",3.5,18,[],"['Brand new dryer drum slide, replaces General Electric, Hotpoint, RCA, WE1M333, WE1M504.']",None,https://m.media-amazon.com/images/I/21HQKcHPIkL._AC_.jpg,"{'title': [], 'url': [], 'user_id': []}",GE,"['Appliances', 'Parts & Accessories']","{""Manufacturer"": ""RPI"", ""Part Number"": ""WE1M333,"", ""Item Weight"": ""0.352 ounces"", ""Package Dimensions"": ""5.5 x 4.7 x 0.4 inches"", ""Item model number"": ""WE1M333,"", ""Is Discontinued By Manufacturer"": ""No"", ""Item Package Quantity"": ""1"", ""Batteries Included?"": ""No"", ""Batteries Required?"": ""No"", ""Best Sellers Rank"": {""Tools & Home Improvement"": 1315213, ""Parts & Accessories"": 181194}, ""Date First Available"": ""February 25, 2014""}",B00IN9AGAE,,,,100
3,Tools & Home Improvement,"154567702 Dishwasher Lower Wash Arm Assembly for Kenmore Electrolux Dishwasher Bottom Lower Spray Arm 5304518927, AP6810011,154567701…",4.5,26,"['MODEL NUMBER:154567702 Dishwasher Lower Wash Arm Assembly', 'Compatible with Electrolux Frigidaire Gibson Kelvinator Westinghouse Dishwasher models .', 'This part is Replaces: AP6810011, 154567702, 5304507175, 154567701, 154335802, 154414201, 154496901, 154496902, 154550002,5304518927,735873135992.', '365-DAY WARRANTY POLICY: folosem parts always come with a 1 year warranty.']","['MODEL NUMBER:154567702 Dishwasher Lower Wash Arm Assembly.  This part is Replaces: AP6810011, 154567702, 5304507175, 154567701, 154335802, 154414201, 154496901, 154496902, 154550002,5304518927,735873135992. Fix Symptoms: When your dishwasher shows the following symptoms: Not cleaning dishes properly, Leaking, Noisy, Not draining.']",None,https://m.media-amazon.com/images/I/31Huc5+m+TL._AC_.jpg,"{'title': [], 'url': [], 'user_id': []}",folosem,"['Appliances', 'Parts & Accessories', 'Dryer Parts & Accessories', 'Replacement Parts']","{""Manufacturer"": ""folosem"", ""Part Number"": ""154567702"", ""Item Weight"": ""8.4 ounces"", ""Package Dimensions"": ""19.45 x 4.96 x 3.54 inches"", ""Color"": ""154567702"", ""Batteries Included?"": ""No"", ""Batteries Required?"": ""No"", ""Best Sellers Rank"": {""Tools & Home Improvement"": 702914, ""Dryer Replacement Parts"": 12719}, ""Date First Available"": ""January 12, 2022""}",B0C7K98JZS,,,,100
4,Tools & Home Improvement,Whirlpool W10918546 Igniter,3.8,12,['This is a Genuine OEM Replacement Part.'],['Whirlpool Igniter'],25.07,https://m.media-amazon.com/images/I/31o9GyU6jnL._AC_.jpg,"{'title': [], 'url': [], 'user_id': []}",Whirlpool,"['Appliances', 'Parts & Accessories']","{""Manufacturer"": ""Whirlpool"", ""Part Number"": ""W10918546"", ""Item Weight"": ""1 pounds"", ""Product Dimensions"": ""1 x 1 x 1 inches"", ""Item model number"": ""W10918546"", ""Item Package Quantity"": ""1"", ""Batteries Included?"": ""No"", ""Batteries Required?"": ""No"", ""Warranty Description"": ""This is a Genuine OEM Replacement Part."", ""Best Sellers Rank"": {""Tools & Home Improvement"": 655322, ""Parts & Accessories"": 93370}, ""Date First Available"": ""April 19, 2019""}",B07QZHQTVJ,,,,100
5,Tools & Home Improvement,1841N030 - Brown Aftermarket Replacement Stove Range Oven Drip Bowl Pan,4.5,7,"['This is a Brand New Aftermarket Replacement Drip Bowl Pan', 'Top Qualty Aftermarket Replacement Part!']",['This is a Brand New Aftermarket Replacement Drip Bowl Pan'],None,https://m.media-amazon.com/images/I/51HP3jWvtHL._AC_.jpg,"{'title': [], 'url': [], 'user_id': []}",Brown,"['Appliances', 'Parts & Accessories', 'Range Parts & Accessories', 'Drip Pans']","{""Manufacturer"": ""Universal"", ""Part Number"": ""1841N030"", ""Item Weight"": ""3 ounces"", ""Product Dimensions"": ""6 x 6 x 6 inches"", ""Item model number"": ""CECOMINOD023154"", ""Is Discontinued By Manufacturer"": ""No"", ""Item Package Quantity"": ""1"", ""Batteries Included?"": ""No"", ""Best Sellers Rank"": {""Tools & Home Improvement"": 1181026, ""Range Replacement Drip Pans"": 613}, ""Date First Available"": ""November 19, 2013""}",B00GS4892I,,,,100
6,Appliances,WD12X10327 Rack Roller and stud assembly Kit (4 Pack) by AMI PARTS Replaces AP4980629 PS3486910 1811003,4.6,323,"['【PARTS NUMBER】The WD12X10327 dishwasher top rack wheels and stud assembly Kit （4 pcs）', '【SCOPE OF APPLICATION】The dishwasher works with most top name brands,If you are not sure if part is correct, ask us in Customer questions & answers section or visiting the AMI PARTS storefront.We’re happy to help ensure you select the correct part for your Rack Roller and stud', '【REPLACES PART】1811003, AP4980629, WD12X0330, WD12X0356, WD12X0357, WD12X0383, WD12X0385, WD12X10327, WD12X330, WD12X356, WD12X357, WD12X383, WD12X385', '【FIXES SYMPTOMS】Door won’t close | Not cleaning dishes properly | Noisy | Door latch failure', '【QUALITY WARRANTY】The replacement part is made from durable high quality material and well-tested by manufacturer.For any reason you’re not satisfied,you can ask for a replacement or full refund']",[],8.99,https://m.media-amazon.com/images/I/31pHqGkkPfL._AC_.jpg,"{'title': ['AMI PARTS,Parts Specialist', 'Why choose Funmit?', 'Why Call the Repair Guy?', 'Appliancemate WD28X10128 Dishwasher Silverware Basket', '#1 Place for DIY Repairs - Solutions for your Dishwasher'], 'url': ['https://www.amazon.com/vdp/09a12ea79b1a4081a18909825437760b?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/01c5408074b64930a9e2ea6295a68f0b?ref=dp_vse_rvc_1', 'https://www.amazon.com/vdp/0b6b25434c814252bab393b19669653f?ref=dp_vse_rvc_2', 'https://www.amazon.com/vdp/74de05271b7f4321897f3a3bd6c45c64?ref=dp_vse_rvc_3', 'https://www.amazon.com/vdp/0ea50b79052248a4818e3eacf4605c60?ref=dp_vse_rvc_4'], 'user_id': ['', '', '', '', '']}",AMI PARTS,"['Appliances', 'Parts & Accessories', 'Dishwasher Parts & Accessories']","{""Brand Name"": ""AMI PARTS"", ""Model Info"": ""WD12X10327"", ""Item Weight"": ""0.634 ounces"", ""Item model number"": ""WD12X10327"", ""Part Number"": ""WD12X10327"", ""Color"": ""White"", ""Material Type"": ""Plastic"", ""Best Sellers Rank"": {""Tools & Home Improvement"": 65221, ""Dishwasher Parts & Accessories"": 181}, ""Date First Available"": ""July 14, 2019"", ""Brand"": ""AMI PARTS"", ""Material"": ""Plastic"", ""Model Name"": ""WD12X10327 Rack Roller and stud assembly Kit"", ""Style"": ""WD12X10327 Rack Roller and stud assembly Kit""}",B07W42P978,,,,100
7,Tools & Home Improvement,SAMSUNG Cap-Handle Sub Fre L;Nw2 (DA67-02639A),4.0,12,"['Fits Samsung Refrigerator', 'Genuine Samsung OEM Part', 'Replaces Samsung Part Numbers:']","[""Samsung Assembly Cap Handle-Sub Freezer Left NW2-FDR,INO . Manufacturer's Product Number: SAM-DA97-11912L""]",53.68,https://m.media-amazon.com/images/I/313AzAnCPjL._AC_.jpg,"{'title': ['I need the left handle support for the frige door 4 holes on back 1 on each corner', 'Upgraded Version DA61-07540A Freezer Handle Support Kit'], 'url': ['https://www.amazon.com/vdp/cec27d41f2d04e66a3ee528c775a4da1?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/0db9d318ebe24ed39987a28e89778292?ref=dp_vse_rvc_1'], 'user_id': ['', '']}",SAMSUNG,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Handles']","{""Manufacturer"": ""Samsung"", ""Part Number"": ""DA67-02639A"", ""Item Weight"": ""1.6 ounces"", ""Package Dimensions"": ""3.9 x 2.4 x 1.6 inches"", ""Finish"": ""Powder Coated"", ""Item Package Quantity"": ""1"", ""Mounting Type"": ""Door"", ""Best Sellers Rank"": {""Tools & Home Improvement"": 845444, ""Refrigerator Replacement Handles"": 928}, ""Date First Available"": ""April 26, 2017"", ""Brand"": ""SAMSUNG"", ""Finish Type"": ""Powder Coated"", ""Unit Count"": ""1.0 Count""}",B078ZF9JS1,,,,100
8,Amazon Home,"G.a HOMEFAVOR Cold Brew Coffee Infuser 64oz (2 Quart), Stainless Steel Filter Kit for Wide Mason Jar and Iced Tea Maker at Home",4.5,326,"['COMPLETE COLD BREW SYSTEM: The Cold Brew Kit is designed from an extra heavy-duty 304 Stainless Steel wire. The special weave of the 100-micron fine-mesh provides the smoothest no-grit finish in town.', 'PROFESSIONAL COLD BREW AT HOME: Just add your favorite freshly ground coffee and water, and let our filter work its delicious magic! This fine mesh filter can also be used as a coffee strainer and is perfect for tea infusing.', 'FITS 64OZ WIDE MOUTH MASON JARS: Our Long Mason Jar Infuser and Filter is designed to fit a 64oz (2 Quart) Wide Mouth Mason Jar. It’s long conical shape is designed to maximize the amount of space inside so you can make a lot and pack a punch!', 'COFFEE, TEA, INFUSED WATER, NUT MILK: Perfect as a loose leaf tea infuser and iced coffee maker. Can also be used as a sun tea maker and can handle cold pressed juices and cucumber water with ease. Customize your cold bru with cinnamon sticks, vanilla beans, herbs and spices and whatever else you can think of!', 'MULTIPURPOSE FUNCTION: We are serious about our coffee. This is not your standard coffee filter; it is designed to survive the bottom of your camping gear while simultaneously delivering more flavor and less acid than other, less-serious coffee filters. We are honored to help you and your family craft the perfect cup of coffee.']",[],None,https://m.media-amazon.com/images/I/41EPlLNVx6L._AC_.jpg,"{'title': ['Trendy Mason Jar Lid Used with Cold Brew Coffee System', 'County Line Kitchen - Cold Brew By You, At Home', 'The TUBE Cold Brew Coffee Maker Filter for Mason Jars', 'Goal: make cold brew simple - success never tasted so good:)', 'She was totally shocked when she saw this...', 'Cuisinart 4-cup coffee maker'], 'url': ['https://www.amazon.com/vdp/019c05bfbb6d4a6095b516062c72c788?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/0fd4f709c2114234aff00bb3f69f46b5?ref=dp_vse_rvc_1', 'https://www.amazon.com/vdp/7790eb63b92a4d59962e83895f0a1e85?ref=dp_vse_rvc_2', 'https://www.amazon.com/vdp/00720f68c8394e7683a82373678307aa?ref=dp_vse_rvc_3', 'https://www.amazon.com/vdp/0c12dbad05eb4425979dc04b4b8aad61?ref=dp_vse_rvc_4', 'https://www.amazon.com/vdp/0a6eed3bcb7248be82037904dbc7f26d?ref=dp_vse_rvc_5'], 'user_id': ['', '', '', '', '/shop/emailtheboss.org', '/shop/influencer-1b34375d']}",G.a HOMEFAVOR,"['Small Appliance Parts & Accessories', 'Coffee & Espresso Machine Parts & Accessories', 'Coffee Machine Accessories', 'Coffee Filters', 'Reusable Filters']","{""Package Dimensions"": ""8.46 x 3.43 x 3.39 inches"", ""Item Weight"": ""3.2 ounces"", ""Manufacturer"": ""Gahomefavor"", ""Item model number"": ""KT135-US"", ""Best Sellers Rank"": {""Health & Household"": 345764, ""Reusable Coffee Filters"": 1360, ""Paper & Plastic Household Supplies"": 26283}, ""Date First Available"": ""January 9, 2020"", ""Material"": ""Stainless Steel"", ""Brand"": ""G.a HOMEFAVOR"", ""Shape"": ""Cone"", ""Number of Pieces"": ""1""}",B083Q6Y54F,,,,100
9,Tools & Home Improvement,"3-pack OnePurify Water Filter Replacement Cartridge for LG, Kenmore, Swift Green, Water Sentinel, Supco, Amana, Maytag",4.3,236,"['NSF certified economical alternative to expensive brand name cartridges', 'Delivers clean, clear water that looks and tastes great', 'Removes chlorine tastes and odors, while retaining minerals which may be beneficial to health', 'Lasts for up to 6 months or 400 gallons (depends on water quality and level of contaminants)', 'Compatible with LG LT600P, 5231JA2005A, 5231JA2005A-S, 5231JA2006, 5231JA2006A, 5231JA2006A-S, 5231JA2006B, 5231JA2006B-S, 5231JA2006E, 5231JA2006F, 5231JA2006F-S, 5231JA2006H, 5231JJ2001C, KENMORE 9990, 9990P, 04609990000, 46- 9990, 4609990000, SWIFT GREEN SGFLA50, SGF-LB60, WATER SENTINEL WSL-2, SUPCO WF300, CLS30320001, CLS3032001']","[""This OnePurify refrigerator water filter contains a compressed carbon block that provides tremendous capacity to remove and/or reduce impurities and sediment that may be present in your drinking water. The carbon block has millions of active sites on it's surface and within the structure which can absorb impurities like a sponge, and can absorb and hold other types of impurities on its surface like a magnet. Additionally this filter can catalytically breakdown other impurities very similar to the way a catalytic converter works in your automobile. These processes ensure that you are getting the cleanest and best tasting water possible. This filter should not be used with water that is micro biologically unsafe or of unknown quality, without adequate disinfection before and or after the filter. This filter has been tested by the manufacturer against ANSI/NSF Standard 42 for the reduction of Chlorine Tastes and Odors. MWF compatible filter removes the following contaminants: 99.30% of Lead at pH 6.5 99.90% of Lead at pH 8.5 94.50% of Mercury at pH 6.5 96.60% of Mercury at pH 8.5 99.92% of Asbestos 89.60% of Benzene 99.90% of P-Dichlorobenzene 99.99% of Cysts 98.70% of Carbofuran 97.00% of Chlorine 99.10% of Turbidity 97.60% of Particulates (Class I) All filters are certified to be free from leaks if properly installed and to function with the latest modifications from the OEM. All components NSF-42/53 certified. The Activated Carbon Block Filter inside has NSF42/53 approval. The quality of the filter is the same or better than the OEM branded filter. Manufactured in an ISO9001 facility. Technical Specifications: MATERIAL: NSF Coconut shell Activated Carbon; MICRON RATE: 0.5 Micron; OPERATING TEMP.: 39-125 degrees Fahrenheit; MAX. OPERATING PRESSURE: 20-120psi; FLOW RATE: 0.8 GPM; FILTRATION LIFE: 6 months/400Gal *Depends on water quality and level of contaminants.""]",None,https://m.media-amazon.com/images/I/51ziphmPX0L._AC_.jpg,"{'title': ['Fast Review of these Refrigerator Water Filters', 'Description of pureline', 'How to install ICEPURE LT600P Refrigerator Water Filter?', 'Installation for Mist LT600P Replacement Water Filter', 'ICEPURE Water Filter Easy To Install', 'NSF certification of 1000A', 'ICEPURE Water Filter-Passions for Home Filtration Since 2001', 'FilterLogic LT600P Refrigerator Water Filter', 'Waterdrop LT600P Refrigerator Water Filter', 'What to consider when selecting a replacement filter?'], 'url': ['https://www.amazon.com/vdp/0dedb0ccb23b452eaa99e125d5344d04?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/07152d72a2b44d08b43ea41f41fb6c7a?ref=dp_vse_rvc_1', 'https://www.amazon.com/vdp/20471206318c49018aed0e936b48056c?ref=dp_vse_rvc_2', 'https://www.amazon.com/vdp/7099ca49393b45fca9bc6fb2f8ef7aef?ref=dp_vse_rvc_3', 'https://www.amazon.com/vdp/008ba72ee7da407fa233cb8bfe27ffa9?ref=dp_vse_rvc_4', 'https://www.amazon.com/vdp/2cb9e619c6d741fab38108f84823baa9?ref=dp_vse_rvc_5', 'https://www.amazon.com/vdp/23357889d56b419c95ef34bd934f4a95?ref=dp_vse_rvc_6', 'https://www.amazon.com/vdp/0259e077a32444118dda5299c1bd4e81?ref=dp_vse_rvc_7', 'https://www.amazon.com/vdp/0d10f62b05184755854333a346d79544?ref=dp_vse_rvc_8', 'https://www.amazon.com/vdp/0a73ec705e8d4c8db29792a0e371839f?ref=dp_vse_rvc_9'], 'user_id': ['/shop/addictedto24', '/shop/influencer-d5b72af7', '', '', '/shop/yourreviewchannel', '', '', '', '', '/shop/petertech']}",OnePurify,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Water Filters']","{""Part Number"": ""RFC-1000A"", ""Item Weight"": ""7.8 Ounces"", ""Product Dimensions"": ""12 x 3 x 2.25 inches"", ""Item model number"": ""RFC-1000A3"", ""Is Discontinued By Manufacturer"": ""No"", ""Material"": ""Carbon"", ""Pattern"": ""Redrive"", ""Item Package Quantity"": ""100"", ""Batteries Included?"": ""No"", ""Batteries Required?"": ""No"", ""Date First Available"": ""March 17, 2014"", ""Duration"": ""6 \tmonths"", ""External Testing Certification"": ""ANSI, NSF"", ""Brand"": ""OnePurify""}",B00KAS9ZMG,,,,100
